"uploadID","uploadRA","uploadDEC","uploadSearchID","objID","survey","specObjID","distance_arcmin","fov_radius","IAUName","ra","dec","band","nuv_exptime","fuv_exptime","fuv_mag","fuv_magerr","nuv_mag","nuv_magerr","fuv_flux","fuv_fluxerr","nuv_flux","nuv_fluxerr","e_bv","spectra","fuv_fwhm_world","nuv_fwhm_world","ra_cent","dec_cent","minObsDate","meanObsDate","maxObsDate","minObsMJD","meanObsMJD","maxObsMJD","tilename","tilenum","img","subvis","photoextractid","nuv_flux_auto","nuv_flux_aper_7","nuv_artifact","fuv_flux_auto","fuv_flux_aper_7","fuv_artifact"
"915-52443-549","211.0723570423","-1.7628129068","1","2414142843031389259","MIS","0","0.010979344152482414","0.53377175331115723","GALEX J140417.3-014546","211.07237720932571","-1.762994782239335","3","1680","1680","19.5827637","0.0534628779","17.6252327","0.009934295","53.3208046","2.624939","323.524139","2.9594698","0.0596521981","false","0.0018562089","0.00165549293","211.40134","-1.34255","2004-05-15","2004-05-15","2004-05-15","53140.751076388893","53140.751076388893","53140.770520833335","MISDR1_33902_0302","3078","1","-999","2414142843028242432","9.591954231262207","9.7432689666748047","17","0.49533012509346008","0.50482368469238281","0"
"915-52443-549","211.0723570423","-1.7628129068","1","2851097560002601449","MIS","0","0.0063836637461913062","0.4580361545085907","GALEX J140417.3-014545","211.0723962586201","-1.7627139962194429","3","1629.05","1629.05","19.5150967","0.0472114943","17.65181","0.0101078618","56.74965","2.467068","315.700745","2.93836045","0.0596521981","false","0.00103579834","0.00145673647","210.90633","-2.18962","2007-04-14","2007-04-14","2007-04-15","54204.992743055554","54204.992743055554","54205.011597222227","MISDR2_33937_0915","15497","1","-999","2851097559999447040","9.3600034713745117","9.5007343292236328","0","0.52718281745910645","0.52772539854049683","0"
"915-52443-549","211.0723570423","-1.7628129068","1","6379219289849725431","AIS","0","0.011111177970543517","0.53400266170501709","GALEX J140417.4-014546","211.0725256885608","-1.762889583522316","1","331","107","-999","-999","17.7157288","0.0234874915","-999","-999","297.6515","6.43746471","0.0596521981","false","-99","0.001695259","211.40557","-1.34537","2004-05-11","2005-11-09","2007-05-09","53136.645636574074","53683.145636574074","54229.650914351849","AIS_236","50236","1","21","6379219289848676352","8.8248729705810547","9.0055999755859375","17","-99","-99","0"
"915-52443-549","211.0723570423","-1.7628129068","1","6379219302736727556","AIS","0","0.021151683284114674","0.46350792050361633","GALEX J140417.4-014545","211.072698012559","-1.7627227662204561","3","112","112","19.4288883","0.152469367","17.7367249","0.0408826619","61.4393234","8.625795","291.950653","10.9905338","0.0596521981","false","0.00523445476","0.00160895521","210.91058","-2.19699","2004-05-14","2004-05-14","2004-05-14","53139.937696759254","53139.937696759254","53139.938993055563","AIS_236","50236","1","33","6379219302733578240","8.655853271484375","8.9201803207397461","0","0.57074809074401855","0.55817258358001709","0"
"740-52263-440","341.6738987837","14.2911014276","2","6376228690164976993","AIS","0","0.017747474644355363","0.28225958347320557","GALEX J224641.6+141727","341.67359435001282","14.29107998104937","3","187","187","20.3330669","0.184267953","19.803833","0.09338519","26.7162075","4.533095","43.4976921","3.7403686","0.0538545027","false","0.0037310347","0.00522659626","341.83945","14.05911","2004-08-11","2004-08-11","2004-08-11","53228.297708333339","53228.297708333339","53228.367326388892","AIS_151","50151","1","88","6376228690161827840","1.2896344661712647","1.3826617002487183","0","0.248183473944664","0.26466435194015503","0"
"740-52263-440","341.6738987837","14.2911014276","2","2470613760233971215","MIS","0","0.010856588407949541","0.30210080742836","GALEX J224641.7+141728","341.67375107222108","14.291212112976909","3","1702.05","1702.05","20.3759041","0.06564386","19.82503","0.03177891","25.6827","1.55240476","42.65678","1.24823749","0.0538545027","false","0.00108639745","0.00156982779","341.85007","14.04214","2004-08-25","2004-08-25","2004-08-25","53242.601053240738","53242.601053240738","53242.620752314811","MISDR2_20827_0740","4683","1","-999","2470613760230817792","1.2647027969360352","1.2967292070388794","0","0.238582581281662","0.24261952936649323","0"
"684-52523-47","358.7196380149","-0.7555249781","3","2907744399065615167","MIS","0","0.0086811119424968948","0.37695136666297913","GALEX J235452.7-004519","358.71969191366952","-0.75539070511505879","3","3341.15","3341.15","21.0771751","0.05804896","18.30274","0.009784407","13.4626827","0.7196084","173.341782","1.56173718","0.02807918","false","0.00163944589","0.00140186655","358.97738","-0.48026","2006-10-23","2007-05-02","2007-11-09","54031.538449074076","54222.746782407412","54413.925532407411","MISWZS00_29105_0165","17107","1","-999","2907744399062466560","5.1392965316772461","5.2460455894470215","0","0.12506324052810669","0.13045330345630646","256"
"684-52523-47","358.7196380149","-0.7555249781","3","6376686002176525436","AIS","0","0.00401160943907911","0.37307965755462646","GALEX J235452.7-004519","358.71963680436539","-0.7554581289003246","3","267","267","21.1221085","0.205461472","18.2704","0.032174632","12.9169073","2.443763","178.582825","5.290826","0.02807918","false","0.00202234881","0.00148077041","358.98188","-0.49008","2003-10-20","2005-10-19","2007-10-19","52932.530648148146","53662.488981481474","54392.419942129622","AIS_164","50164","1","9","6376686002173378560","5.294684886932373","5.5264883041381836","0","0.1199931874871254","0.11522621661424637","0"
"3131-54731-429","357.8596116531","16.0799299042","4","6376052693142606904","AIS","0","0.012380725591863314","0.34646615386009216","GALEX J235126.2+160448","357.85947743939857","16.0800909850991","3","470","320","20.8527412","0.165250763","19.9801636","0.0584690645","16.5541077","2.51894927","36.97724","1.99081469","0.03754988","false","0.00221592747","0.00171559409","357.69113","15.77377","2004-08-19","2004-08-31","2004-09-13","53236.581817129634","53248.9984837963","53261.444641203707","AIS_146","50146","1","18","6376052693139456000","1.0963139533996582","1.076528787612915","0","0.15378139913082123","0.11471589654684067","0"
"3131-54731-429","357.8596116531","16.0799299042","4","2472267425722146681","MIS","0","0.0164077246728109","0.33479723334312439","GALEX J235126.2+160448","357.85935653788567","16.080051109788869","3","1705","1705","20.480545","0.06825453","19.90471","0.032494083","23.322958","1.46583569","39.6382942","1.18601286","0.03754988","false","0.00104866538","0.00166922843","357.69070","15.78716","2004-08-27","2004-08-27","2004-08-27","53244.860821759255","53244.860821759255","53244.880555555559","MISDR2_28646_0749","4730","1","-999","2472267425718992896","1.1752097606658936","1.1818308830261231","0","0.21666146814823151","0.21060426533222199","0"
